Time,Event,PID,ThreadID,Page,Frame,EvictedPage
0,CONTEXT_SWITCH,1,1,,,
0,CPU_EXECUTE,1,1,1,,
0,TLB_MISS,1,1,1,,
0,PAGE_FAULT,1,1,1,,
0,PAGE_LOAD,1,1,1,0,-1
1,CPU_EXECUTE,1,1,2,,
1,TLB_MISS,1,1,2,,
1,PAGE_FAULT,1,1,2,,
1,PAGE_LOAD,1,1,2,1,-1
2,CPU_EXECUTE,1,1,3,,
2,TLB_MISS,1,1,3,,
2,PAGE_FAULT,1,1,3,,
2,PAGE_LOAD,1,1,3,2,-1
3,CPU_EXECUTE,1,1,1,,
3,TLB_HIT,1,1,1,0,
4,CPU_EXECUTE,1,1,2,,
4,TLB_HIT,1,1,2,1,
5,CPU_EXECUTE,1,1,1,,
5,TLB_HIT,1,1,1,0,
6,CPU_EXECUTE,1,1,3,,
6,TLB_HIT,1,1,3,2,
7,CPU_EXECUTE,1,1,2,,
7,TLB_HIT,1,1,2,1,
8,CPU_EXECUTE,1,1,1,,
8,TLB_HIT,1,1,1,0,
9,CPU_EXECUTE,1,1,3,,
9,TLB_HIT,1,1,3,2,
10,CPU_EXECUTE,1,1,10,,
10,TLB_MISS,1,1,10,,
10,PAGE_FAULT,1,1,10,,
10,PAGE_LOAD,1,1,10,3,-1
11,CPU_EXECUTE,1,1,11,,
11,TLB_MISS,1,1,11,,
11,PAGE_FAULT,1,1,11,,
11,PAGE_LOAD,1,1,11,4,-1
12,CPU_EXECUTE,1,1,10,,
12,TLB_HIT,1,1,10,3,
13,CPU_EXECUTE,1,1,11,,
13,TLB_HIT,1,1,11,4,
14,CPU_EXECUTE,1,1,10,,
14,TLB_HIT,1,1,10,3,
15,CPU_EXECUTE,1,1,10,,
15,TLB_HIT,1,1,10,3,
16,CPU_EXECUTE,1,1,11,,
16,TLB_HIT,1,1,11,4,
17,CPU_EXECUTE,1,1,10,,
17,TLB_HIT,1,1,10,3,
18,CPU_EXECUTE,1,1,11,,
18,TLB_HIT,1,1,11,4,
19,CPU_EXECUTE,1,1,10,,
19,TLB_HIT,1,1,10,3,
